Término,Estimación,EE HC3,p HC3,EE clúster región,p clúster región
"Intercepto (mb, perfil centrado)",4.3757,0.0047,<0.001,0.0152,<0.001
profundidad (1 DE),-0.1597,0.0043,<0.001,0.0095,<0.001
latitud (1 DE),-0.0966,0.0025,<0.001,0.0047,<0.001
longitud (1 DE),0.0418,0.0028,<0.001,0.0092,<0.001
log nst (1 DE),0.1894,0.0028,<0.001,0.0064,<0.001
log gap (1 DE),-0.0370,0.0026,<0.001,0.0071,<0.001
log dmin (1 DE),0.0269,0.0025,<0.001,0.0079,0.001
rms (1 DE),0.0115,0.0018,<0.001,0.0029,<0.001
profundidad al cuadrado,0.0271,0.0019,<0.001,0.0031,<0.001
log gap al cuadrado,-0.0108,0.0031,<0.001,0.0053,0.049
log dmin al cuadrado,0.0026,0.0014,0.054,0.0025,0.301
log nst × log gap,-0.0360,0.0038,<0.001,0.0067,<0.001
log nst × log dmin,0.0054,0.0027,0.041,0.0038,0.155
profundidad × longitud,0.0036,0.0017,0.035,0.0032,0.270
