region_from_place,n
Unknown/No comma,2802
Indonesia,1387
Japan,856
Philippines,771
Papua New Guinea,609
Tonga,602
Chile,537
Taiwan,429
Vanuatu,425
Russia,386
China,368
Alaska,345
Japan region,336
Mexico,269
Fiji,258
Peru,254
Argentina,248
Northern Mariana Islands,237
New Zealand,211
Timor Leste,186
Solomon Islands,184
Afghanistan,175
Greece,158
Guam,135
Iran,125
India,106
Colombia,105
Ethiopia,100
Turkey,98
Tajikistan,89
El Salvador,85
Guatemala,75
Canada,70
Nicaragua,67
Kyrgyzstan,62
CA,54
Myanmar,48
Bolivia,46
Ecuador,44
Panama,41
New Caledonia,41
Wallis and Futuna,40
Micronesia,38
Pakistan,34
Costa Rica,33
Dominican Republic,29
Venezuela,27
Svalbard and Jan Mayen,26
Italy,24
Portugal,20
Australia,20
Oregon,17
Tanzania,15
Yemen,14
Hawaii,13
Vietnam,13
Kazakhstan,12
Iceland,12
India region,11
Puerto Rico,11
Mauritius,11
Honduras,11
Saudi Arabia,11
Nepal,11
Georgia,10
Cuba,10
U.S. Virgin Islands,10
Samoa,10
Iraq,9
Texas,9
Eritrea,9
Somalia,8
Russia region,8
MX,7
Antigua and Barbuda,7
Albania,7
Romania,7
South Africa,6
Cyprus,6
Democratic Republic of the Congo,6
Azerbaijan,6
California,6
Morocco,6
Djibouti,5
Mongolia,5
Bosnia and Herzegovina,5
Nevada,5
Sudan,5
Turkmenistan,5
Algeria,4
Brazil,4
New Mexico,4
Poland,4
Saint Helena,4
Croatia,4
Anguilla,4
Guadeloupe,4
Zimbabwe,4
Uzbekistan,4
Oklahoma,3
Tunisia,3
Angola,3
Syria,3
Egypt,3
Ecuador region,3
Libya,3
Jamaica,3
Greenland,3
Uganda,2
Japan Earthquake,2
Martinique,2
Trinidad and Tobago,2
Saint Lucia,2
Palau,2
Federated States of Micronesia,2
Utah,2
Mayotte,2
Cayman Islands,2
Saint Eustatius and Saba,2
Zambia,2
Kenya,2
Armenia,2
Barbados,1
Maldives,1
Mozambique,1
Austria,1
Malawi,1
New Jersey Earthquake,1
Oman,1
Bangladesh,1
South Korea,1
Montenegro,1
Florida,1
Grenada,1
Switzerland,1
Idaho,1
American Samoa,1
Saint Pierre and Miquelon,1
Madagascar,1
California Earthquake,1
Haiti,1
Texas Earthquake,1
Montana,1
Bhutan,1
New Zealand region,1
France,1
Nevada Earthquake,1
French Southern Territories,1
Kosovo,1
