término,estimación,EE HC3,t,p-valor,IC 95% inferior,IC 95% superior
Intercept,4.9161,0.2737,17.964,0.0,4.3797,5.4525
C(magType_grouped)[T.mb],-0.3992,0.2721,-1.4672,0.1424,-0.9325,0.1341
C(magType_grouped)[T.md],-0.3649,0.2739,-1.3323,0.1828,-0.9017,0.1719
C(magType_grouped)[T.ml],-0.3066,0.2783,-1.1018,0.2706,-0.852,0.2388
C(magType_grouped)[T.mw],-0.5457,0.2819,-1.936,0.0529,-1.0983,0.0068
C(magType_grouped)[T.mwr],-0.5752,0.2723,-2.1122,0.0347,-1.1089,-0.0414
C(magType_grouped)[T.mww],0.0475,0.2722,0.1746,0.8614,-0.486,0.581
log_depth_plus_1,-0.0593,0.0016,-37.1932,0.0,-0.0624,-0.0562
latitude,-0.0033,0.0001,-36.6556,0.0,-0.0035,-0.0031
longitude,0.0002,0.0,9.5927,0.0,0.0001,0.0002
nst,0.0042,0.0001,35.4792,0.0,0.0039,0.0044
gap,-0.001,0.0001,-17.6882,0.0,-0.0011,-0.0009
dmin,0.0026,0.0004,6.4214,0.0,0.0018,0.0033
rms,0.0733,0.0086,8.5175,0.0,0.0564,0.0902
